target,horizon,team_id,model_id,model,mean_wis,mean_ae,mean_rel_wis_log2,n_units,rank
ILI incidence,3,ECDC,SARIMA,ECDC-SARIMA,344.4007062263276,472.49406591129673,0.028037758667895714,316,10
ILI incidence,3,ItaLuxColab,EpiNetEKF,ItaLuxColab-EpiNetEKF,365.95044676718487,581.9211437324888,0.021849243677326036,385,11
ILI incidence,3,NotreDame,Rt_cocirc,NotreDame-Rt_cocirc,436.0105900708354,449.73988764044947,0.011489724828298962,178,12
ILI incidence,3,respicast,quantileBaseline,respicast-quantileBaseline,280.22783551583063,402.6432108384449,0,433,13
ILI incidence,3,MRC_GIDA,NBEATS,MRC_GIDA-NBEATS,273.21212841692875,294.7684770873005,-0.02631559918279402,107,14
ILI incidence,3,QMUL,ARIMA,QMUL-ARIMA,466.13967681490044,552.6011965446883,-0.04331271892811938,261,15
ILI incidence,3,MRC_GIDA,TiDE,MRC_GIDA-TiDE,219.16201746391351,294.1571275773862,-0.04621233994888277,107,16
ILI incidence,3,QMUL,SEIR_agumented,QMUL-SEIR_agumented,274.9856707719192,309.21071804979664,-0.14007631414206104,183,17
ILI incidence,3,QMUL,SEIR,QMUL-SEIR,280.9180921738004,380.62072217340346,-0.14590862810415192,206,18
ILI incidence,3,MRC_GIDA,Prophet,MRC_GIDA-Prophet,274.77520725480366,400.95647691236815,-0.21484657434994062,118,19
ILI incidence,3,ISI,LSTFlu,ISI-LSTFlu,766.7479441352032,996.4655221600975,-0.4192580537677114,111,20
ILI incidence,3,RIVM,KFdlm,RIVM-KFdlm,26402.72544704785,558.908391270317,-0.6283783788297581,308,21
ILI incidence,3,ISI,GLEAM,ISI-GLEAM,279.09102113007157,325.9195822583788,-0.6927457152648049,92,22
ILI incidence,4,MRC_GIDA,NHiTS,MRC_GIDA-NHiTS,259.3696354567972,303.4764769487027,0.2671937671396655,106,1
ILI incidence,4,respicast,hubEnsemble,respicast-hubEnsemble,256.22350710841965,360.9233297569386,0.25922710092143475,405,2
ILI incidence,4,MRC_GIDA,NBEATS,MRC_GIDA-NBEATS,297.50707778808214,315.91334905857076,0.25687904816001683,106,3
ILI incidence,4,MRC_GIDA,TiDE,MRC_GIDA-TiDE,198.61730725933293,271.8546799311492,0.17036784911874828,106,4
ILI incidence,4,NotreDame,Rt_cocirc,NotreDame-Rt_cocirc,396.73001359383596,410.3772151898734,0.1667255896777202,158,5
ILI incidence,4,MIGHTE,jointGBM,MIGHTE-jointGBM,287.32869314319197,438.3512366182886,0.15188715814452658,292,6
ILI incidence,4,ISI,FluBcast,ISI-FluBcast,130.81904046466497,180.4239501779967,0.09496423171836361,232,7
ILI incidence,4,safinea,PRFM,safinea-PRFM,317.87887385313456,427.15085904194655,0.0523746874582136,391,8
ILI incidence,4,ECDC,SARIMA,ECDC-SARIMA,344.343983653576,468.6739383921148,0.04126992518513106,291,9
ILI incidence,4,QMUL,ARIMA,QMUL-ARIMA,463.7944480179176,551.9027439266907,0.02505328225305572,242,10
ILI incidence,4,ItaLuxColab,EpiEKF,ItaLuxColab-EpiEKF,266.5743600625024,414.2233229074939,0.013095608103047688,397,11
ILI incidence,4,ECDC,soca_simplex,ECDC-soca_simplex,360.76478449201574,472.27083970096027,0.008703379304297156,336,12
ILI incidence,4,respicast,quantileBaseline,respicast-quantileBaseline,290.19577766434264,413.3250250433008,0,408,13
ILI incidence,4,MRC_GIDA,Prophet,MRC_GIDA-Prophet,194.70357656062936,301.0386749493257,-0.024396325282729406,117,14
ILI incidence,4,ItaLuxColab,EpiNetEKF,ItaLuxColab-EpiNetEKF,404.21140158252746,648.75589270569,-0.027179313954781705,363,15
ILI incidence,4,ISI,RespiVAR,ISI-RespiVAR,193.91470591834528,311.38360655737733,-0.08348001314276338,61,16
ILI incidence,4,ISI,FluABCaster,ISI-FluABCaster,431.19916452619736,504.501667881011,-0.09234273204468074,184,17
ILI incidence,4,QMUL,SEIR_agumented,QMUL-SEIR_agumented,285.26625876340574,325.06855350290425,-0.13081339443594892,170,18
ILI incidence,4,QMUL,SEIR,QMUL-SEIR,288.8714264642299,408.8830647653459,-0.2941907443594095,188,19
ILI incidence,4,ISI,LSTFlu,ISI-LSTFlu,997.4303867707415,1266.7289241968754,-0.8814825024939027,91,20
ILI incidence,4,RIVM,KFdlm,RIVM-KFdlm,96987.55656148837,645.4964314330717,-0.9466892214262279,284,21
ILI incidence,4,ISI,GLEAM,ISI-GLEAM,426.34216581007905,501.798046935295,-1.4259849746612911,82,22
