target,horizon,team_id,model_id,model,mean_wis,mean_ae,mean_rel_wis_log2,n_units,rank
ARI incidence,2,MIGHTE,jointGBM,MIGHTE-jointGBM,299.17150395731215,487.98763109955706,0.17807401873268516,35,4
ARI incidence,2,ISI,FluABCaster,ISI-FluABCaster,354.94467200647324,413.58903914393306,0.1649752839700142,55,5
ARI incidence,2,ECDC,SARIMA,ECDC-SARIMA,426.22733192189884,539.4618652370033,0.09254549505409976,45,6
ARI incidence,2,safinea,PRFM,safinea-PRFM,445.7218846796409,659.5233654728598,0.04376539921202552,70,7
ARI incidence,2,respicast,quantileBaseline,respicast-quantileBaseline,500.3088890684163,725.9820788549995,0,72,8
ARI incidence,2,ISI,RespiVAR,ISI-RespiVAR,116.79965108771297,195.79090909090894,-0.004084125115812352,33,9
ARI incidence,2,ISI,FluBcast,ISI-FluBcast,859.4872840096895,974.1719148639002,-0.038900654179818125,53,10
ARI incidence,2,ECDC,soca_simplex,ECDC-soca_simplex,476.68303942001626,675.8349033183001,-0.14222096440416457,52,11
ARI incidence,2,MRC_GIDA,TiDE,MRC_GIDA-TiDE,692.0652547764599,1080.9717801316247,-0.7298618778106735,10,12
ARI incidence,2,MRC_GIDA,NHiTS,MRC_GIDA-NHiTS,788.0807670530182,1085.224421970363,-0.7436677063281687,10,13
ARI incidence,2,MRC_GIDA,NBEATS,MRC_GIDA-NBEATS,617.4154107667631,849.3213668396664,-0.80017180860891,10,14
ARI incidence,2,ISI,LSTFlu,ISI-LSTFlu,1434.7514986981323,1729.3551037370205,-0.8778239422404671,61,15
ARI incidence,2,ISI,GLEAM,ISI-GLEAM,331.3145977182313,403.12259055142187,-1.2947624991036433,45,16
ARI incidence,2,NotreDame,Rt_cocirc,NotreDame-Rt_cocirc,428.4610445217392,454.268,-1.335990526501932,25,17
ARI incidence,3,MRC_GIDA,Prophet,MRC_GIDA-Prophet,441.41052012897126,571.4634968818166,0.5135292835851214,5,1
ARI incidence,3,respicast,hubEnsemble,respicast-hubEnsemble,547.7696932318587,658.3329992773045,0.41531904989038737,52,2
ARI incidence,3,safinea,PRFM,safinea-PRFM,413.9558916746036,634.9836307878066,0.37629377431601607,51,3
ARI incidence,3,MIGHTE,jointGBM,MIGHTE-jointGBM,320.18643798768187,544.2101502002197,0.26659550674822935,26,4
ARI incidence,3,ECDC,SARIMA,ECDC-SARIMA,232.0583847213436,371.983790169372,0.2562384510673266,28,5
ARI incidence,3,ISI,FluABCaster,ISI-FluABCaster,395.71618000329397,470.50405016662944,0.23771976894066513,41,6
ARI incidence,3,ISI,RespiVAR,ISI-RespiVAR,156.1018235530245,277.49599999999987,0.018751551318123498,25,7
ARI incidence,3,ISI,FluBcast,ISI-FluBcast,885.2454743882074,1009.4618131038565,0.0020030619755291236,34,8
